,age,gender,words
1146,27,1,ubuntu
1147,29,2,bling
1148,25,1,love
1149,21,1,dick
1150,19,2,care
1151,63,2,hungry
1153,65,1,love
1154,66,2,live
1155,42,2,fear
1156,41,2,mother
1157,66,1,love
1158,24,1,fellatio
1159,28,1,fear
1166,24,1,mother
1168,34,1,poop
1169,40,1,love
1171,32,2,affair
1172,24,1,sympathy
1173,47,2,desire
1174,22,2,penguin
1175,45,1,alive
1176,51,2,sex
1177,42,2,huh?
1178,31,2,human
1179,36,2,childhood
1180,35,1,love
1181,23,1,aadvark
1182,31,2,think
1183,67,2,alive
1184,47,2,emotions
1185,65,1,capcha
1186,24,2,black
1187,28,2,computer
1188,28,1,rocking
1189,39,1,pandemic
1190,24,2,astronaut
1191,33,1,poop
1192,33,1,ain't
1193,53,1,groovy
1194,28,2,weirdo
1195,38,2,love
1196,30,1,creativity
1197,26,2,shit
1198,32,2,alive
1199,56,1,alchemy
1200,35,1,asystole
1201,36,1,choose
1202,49,1,love
1203,40,2,antithesis
